timestamp,sleep_stage
2024-05-30 20:59:00,Wake
2024-05-30 20:59:30,Wake
2024-05-30 21:00:00,Wake
2024-05-30 21:00:30,Wake
2024-05-30 21:01:00,Wake
2024-05-30 21:01:30,Wake
2024-05-30 21:02:00,Wake
2024-05-30 21:02:30,Wake
2024-05-30 21:03:00,Wake
2024-05-30 21:03:30,Wake
2024-05-30 21:04:00,Wake
2024-05-30 21:04:30,Wake
2024-05-30 21:05:00,Wake
2024-05-30 21:05:30,Wake
2024-05-30 21:06:00,Wake
2024-05-30 21:06:30,Wake
2024-05-30 21:07:00,Wake
2024-05-30 21:07:30,Wake
2024-05-30 21:08:00,Wake
2024-05-30 21:08:30,Wake
2024-05-30 21:09:00,Wake
2024-05-30 21:09:30,Wake
2024-05-30 21:10:00,Wake
2024-05-30 21:10:30,Wake
2024-05-30 21:11:00,Wake
2024-05-30 21:11:30,Wake
2024-05-30 21:12:00,Wake
2024-05-30 21:12:30,Wake
2024-05-30 21:13:00,Wake
2024-05-30 21:13:30,Wake
2024-05-30 21:14:00,Wake
2024-05-30 21:14:30,Wake
2024-05-30 21:15:00,Wake
2024-05-30 21:15:30,Wake
2024-05-30 21:16:00,Wake
2024-05-30 21:16:30,Wake
2024-05-30 21:17:00,Wake
2024-05-30 21:17:30,Wake
2024-05-30 21:18:00,Wake
2024-05-30 21:18:30,Wake
2024-05-30 21:19:00,Wake
2024-05-30 21:19:30,Wake
2024-05-30 21:20:00,Wake
2024-05-30 21:20:30,Wake
2024-05-30 21:21:00,Wake
2024-05-30 21:21:30,Wake
2024-05-30 21:22:00,Wake
2024-05-30 21:22:30,Wake
2024-05-30 21:23:00,Wake
2024-05-30 21:23:30,Wake
2024-05-30 21:24:00,Wake
2024-05-30 21:24:30,Wake
2024-05-30 21:25:00,Wake
2024-05-30 21:25:30,Wake
2024-05-30 21:26:00,Wake
2024-05-30 21:26:30,Wake
2024-05-30 21:27:00,Wake
2024-05-30 21:27:30,Wake
2024-05-30 21:28:00,Wake
2024-05-30 21:28:30,Wake
2024-05-30 21:29:00,Wake
2024-05-30 21:29:30,Wake
2024-05-30 21:30:00,Wake
2024-05-30 21:30:30,Wake
2024-05-30 21:31:00,Wake
2024-05-30 21:31:30,Wake
2024-05-30 21:32:00,Wake
2024-05-30 21:32:30,Wake
2024-05-30 21:33:00,Wake
2024-05-30 21:33:30,Wake
2024-05-30 21:34:00,Wake
2024-05-30 21:34:30,Wake
2024-05-30 21:35:00,Wake
2024-05-30 21:35:30,Wake
2024-05-30 21:36:00,Wake
2024-05-30 21:36:30,Wake
2024-05-30 21:37:00,Wake
2024-05-30 21:37:30,Wake
2024-05-30 21:38:00,Wake
2024-05-30 21:38:30,Wake
2024-05-30 21:39:00,Wake
2024-05-30 21:39:30,Wake
2024-05-30 21:40:00,Wake
2024-05-30 21:40:30,Wake
2024-05-30 21:41:00,Wake
2024-05-30 21:41:30,Wake
2024-05-30 21:42:00,Wake
2024-05-30 21:42:30,Wake
2024-05-30 21:43:00,Wake
2024-05-30 21:43:30,Wake
2024-05-30 21:44:00,Wake
2024-05-30 21:44:30,Wake
2024-05-30 21:45:00,Wake
2024-05-30 21:45:30,Wake
2024-05-30 21:46:00,Wake
2024-05-30 21:46:30,Wake
2024-05-30 21:47:00,Wake
2024-05-30 21:47:30,Wake
2024-05-30 21:48:00,Wake
2024-05-30 21:48:30,Wake
